year,lat,lon,temperature_c,scenario,temperature_f,anomaly_c,anomaly_f
2083,34.3979057591623,241.25,21.871376,ssp126,71.36848,2.9882221,5.3788
2084,34.3979057591623,241.25,20.561989,ssp126,69.01158,1.6788349,3.0219028
2085,34.3979057591623,241.25,21.857996,ssp126,71.34439,2.974842,5.354716
2086,34.3979057591623,241.25,20.230299,ssp126,68.414536,1.3471451,2.4248612
2087,34.3979057591623,241.25,20.937971,ssp126,69.68835,2.0548172,3.6986709
2088,34.3979057591623,241.25,20.70587,ssp126,69.27057,1.8227158,3.2808883
2089,34.3979057591623,241.25,21.43212,ssp126,70.57781,2.5489655,4.5881376
2090,34.3979057591623,241.25,20.700113,ssp126,69.26021,1.8169594,3.270527
2091,34.3979057591623,241.25,20.77568,ssp126,69.396225,1.8925266,3.406548
2092,34.3979057591623,241.25,20.631372,ssp126,69.136475,1.7482185,3.1467934
2093,34.3979057591623,241.25,20.738228,ssp126,69.32881,1.8550739,3.339133
2094,34.3979057591623,241.25,21.2332,ssp126,70.21976,2.3500462,4.230083
2095,34.3979057591623,241.25,20.210188,ssp126,68.37834,1.327034,2.3886611
2096,34.3979057591623,241.25,21.222603,ssp126,70.20068,2.339449,4.211008
2097,34.3979057591623,241.25,20.642443,ssp126,69.156395,1.7592888,3.16672
2098,34.3979057591623,241.25,21.091253,ssp126,69.96426,2.2080994,3.9745789
2099,34.3979057591623,241.25,21.697617,ssp126,71.05571,2.8144627,5.066033
2100,34.3979057591623,241.25,21.35312,ssp126,70.435616,2.469967,4.4459405
2015,34.3979057591623,241.25,18.21724,ssp245,64.79103,-0.66591454,-1.1986462
2016,34.3979057591623,241.25,19.882668,ssp245,67.7888,0.9995136,1.7991245
2017,34.3979057591623,241.25,19.850578,ssp245,67.73104,0.9674244,1.7413639
2018,34.3979057591623,241.25,19.640451,ssp245,67.35281,0.7572975,1.3631356
2019,34.3979057591623,241.25,19.288683,ssp245,66.71963,0.40552902,0.7299522
2020,34.3979057591623,241.25,18.648645,ssp245,65.567566,-0.23450851,-0.42211533
2021,34.3979057591623,241.25,19.84361,ssp245,67.7185,0.96045685,1.7288224
2022,34.3979057591623,241.25,20.254362,ssp245,68.457855,1.3712082,2.4681747
2023,34.3979057591623,241.25,19.469786,ssp245,67.045616,0.5866318,1.0559372
2024,34.3979057591623,241.25,19.733603,ssp245,67.520485,0.8504486,1.5308075
2025,34.3979057591623,241.25,20.446867,ssp245,68.80436,1.5637131,2.8146834
2026,34.3979057591623,241.25,19.964676,ssp245,67.93642,1.081522,1.9467396
2027,34.3979057591623,241.25,21.502443,ssp245,70.7044,2.6192894,4.7147207
2028,34.3979057591623,241.25,19.5652,ssp245,67.21736,0.6820469,1.2276844
2029,34.3979057591623,241.25,19.91822,ssp245,67.8528,1.0350666,1.8631198
2030,34.3979057591623,241.25,19.791658,ssp245,67.624985,0.9085045,1.635308
2031,34.3979057591623,241.25,20.247416,ssp245,68.44535,1.3642616,2.4556708
2032,34.3979057591623,241.25,20.477507,ssp245,68.85951,1.5943527,2.869835
2033,34.3979057591623,241.25,20.894882,ssp245,69.61079,2.0117283,3.621111
2034,34.3979057591623,241.25,21.048113,ssp245,69.886604,2.164959,3.8969262
2035,34.3979057591623,241.25,20.711973,ssp245,69.281555,1.8288193,3.2918746
2036,34.3979057591623,241.25,20.439764,ssp245,68.79157,1.5566101,2.8018982
2037,34.3979057591623,241.25,20.100973,ssp245,68.18175,1.2178192,2.1920745
2038,34.3979057591623,241.25,21.091188,ssp245,69.96414,2.2080345,3.974462
2039,34.3979057591623,241.25,19.697805,ssp245,67.45605,0.8146515,1.4663727
2040,34.3979057591623,241.25,20.047857,ssp245,68.08614,1.1647034,2.096466
2041,34.3979057591623,241.25,21.080246,ssp245,69.94444,2.197092,3.9547658
2042,34.3979057591623,241.25,20.827356,ssp245,69.48924,1.9442024,3.4995644
2043,34.3979057591623,241.25,19.5325,ssp245,67.1585,0.6493454,1.1688217
2044,34.3979057591623,241.25,20.18115,ssp245,68.32607,1.2979965,2.3363938
2045,34.3979057591623,241.25,21.062958,ssp245,69.91332,2.1798038,3.923647
2046,34.3979057591623,241.25,21.485392,ssp245,70.673706,2.6022377,4.6840277
2047,34.3979057591623,241.25,20.645332,ssp245,69.1616,1.7621784,3.1719213
2048,34.3979057591623,241.25,19.985651,ssp245,67.974174,1.1024971,1.9844948
2049,34.3979057591623,241.25,20.681442,ssp245,69.22659,1.7982883,3.236919
2050,34.3979057591623,241.25,20.630539,ssp245,69.13497,1.747385,3.145293
2051,34.3979057591623,241.25,21.160187,ssp245,70.08833,2.2770329,4.098659
2052,34.3979057591623,241.25,21.641245,ssp245,70.95424,2.758091,4.964564
2053,34.3979057591623,241.25,20.698723,ssp245,69.257706,1.8155689,3.268024
2054,34.3979057591623,241.25,20.824038,ssp245,69.48327,1.9408836,3.4935906
2055,34.3979057591623,241.25,21.62852,ssp245,70.931335,2.7453651,4.941657
2056,34.3979057591623,241.25,20.245283,ssp245,68.44151,1.3621292,2.4518325
2057,34.3979057591623,241.25,20.473925,ssp245,68.853065,1.5907707,2.8633873
2058,34.3979057591623,241.25,20.455198,ssp245,68.81936,1.5720444,2.82968
2059,34.3979057591623,241.25,20.909729,ssp245,69.63751,2.026575,3.6478353
2060,34.3979057591623,241.25,20.992804,ssp245,69.78705,2.1096497,3.7973695
2061,34.3979057591623,241.25,21.518356,ssp245,70.73304,2.6352024,4.7433643
2062,34.3979057591623,241.25,21.30956,ssp245,70.35721,2.4264069,4.3675323
2063,34.3979057591623,241.25,21.2064,ssp245,70.171524,2.323246,4.181843
2064,34.3979057591623,241.25,20.849207,ssp245,69.52857,1.966053,3.5388954
2065,34.3979057591623,241.25,20.771004,ssp245,69.3878,1.8878498,3.3981297
2066,34.3979057591623,241.25,21.673887,ssp245,71.013,2.7907333,5.02332
2067,34.3979057591623,241.25,20.867838,ssp245,69.56211,1.984684,3.572431
2068,34.3979057591623,241.25,20.940084,ssp245,69.692154,2.0569305,3.702475
2069,34.3979057591623,241.25,22.307016,ssp245,72.15263,3.4238625,6.1629524
2070,34.3979057591623,241.25,20.773756,ssp245,69.39276,1.8906021,3.4030838
2071,34.3979057591623,241.25,20.450033,ssp245,68.81006,1.5668793,2.8203826
2072,34.3979057591623,241.25,20.417404,ssp245,68.75133,1.5342503,2.7616506
2073,34.3979057591623,241.25,20.473223,ssp245,68.8518,1.5900688,2.862124
